income,age,purchase,second,market,choice
-1.2003259255805696,1.2415317608550636,8,11,market 1,product 8
-0.6436671611577449,0.36305634223846306,11,8,market 1,product 11
-0.6571438133462897,1.3238863519707604,4,3,market 1,product 4
-0.8206185601864845,0.7776654708557138,11,4,market 1,product 11
-0.8662085699750279,1.501699509680956,7,2,market 1,product 7
-0.7156753334152011,1.2925288362361187,11,6,market 1,product 11
-1.5277502621409553,1.1064822005552255,2,8,market 1,product 2
-1.7361840569966271,1.5198683317904138,11,6,market 1,product 11
-1.10777083187104,1.3496320436320854,11,2,market 1,product 11
-2.4847312033476663,2.180628170404252,11,2,market 1,product 11
0.06028933209658138,1.9385393659214694,2,8,market 1,product 2
-1.6357755701290575,0.8046703765912349,11,8,market 1,product 11
-1.6945034888931318,1.5802799955551885,11,6,market 1,product 11
-0.8369847212253082,1.058202448382994,11,6,market 1,product 11
-2.843210145134319,0.5832060629496578,11,1,market 1,product 11
1.8505058060780253,1.133487840588384,4,2,market 1,product 4
-0.5181656399931556,1.035588286904304,11,10,market 1,product 11
-0.24682552583128103,1.2242531045997376,11,3,market 1,product 11
-0.7748476973034295,1.4979132533496293,8,4,market 1,product 8
-2.5017139975583493,1.1199495867022085,11,2,market 1,product 11
-2.4944990459777436,1.2230111015596505,11,8,market 1,product 11
-1.1051480495928494,1.350429666469202,2,6,market 1,product 2
-0.3622151605926516,1.865384879857949,4,2,market 1,product 4
-0.8865046348413635,1.3975090627864308,3,4,market 1,product 3
-1.1213451520680555,0.583197035390754,11,6,market 1,product 11
-0.29839120779435524,-0.14481625284778077,11,5,market 1,product 11
-1.3797898616674213,0.7315519592778383,4,2,market 1,product 4
-1.3877553964273186,1.0825065273618806,11,1,market 1,product 11
-0.7929039375004107,1.2889661300330886,8,4,market 1,product 8
-1.339575739494522,1.0205566538578181,11,8,market 1,product 11
-0.6120308264826382,0.4475409358185396,4,2,market 1,product 4
-1.6041151674595753,1.5440393483591148,11,6,market 1,product 11
-0.25469548122678376,1.4230877427943813,4,6,market 1,product 4
-1.7419644909376886,0.7653153866691693,11,5,market 1,product 11
-0.9660492373351959,1.5893456082697495,11,6,market 1,product 11
0.6331427810748065,1.1456537665977002,11,5,market 1,product 11
-1.335865557865919,0.8814358849755256,11,8,market 1,product 11
-1.8070170072831653,1.4076101516357586,11,1,market 1,product 11
-0.10770604467371936,0.9924089045450474,8,11,market 1,product 8
-0.7971772955411816,0.6826159614701994,11,2,market 1,product 11
-1.44822558879978,0.7957644459031141,6,11,market 1,product 6
-0.23580974635264507,0.8827715700901176,11,6,market 1,product 11
0.7658434937830669,0.7427768818997611,6,8,market 1,product 6
-0.8097725638147204,0.7020092579277619,4,6,market 1,product 4
-0.4762029247076849,0.41035885555345286,6,4,market 1,product 6
0.3601623852797491,0.9826673125903217,10,9,market 1,product 10
-1.24635541589099,-0.3560949377389975,11,8,market 1,product 11
-1.8531178558886532,1.0111515541897205,11,1,market 1,product 11
-1.1002449429340286,1.1405038219527208,11,4,market 1,product 11
-1.2060973336090848,0.6991131583195045,11,6,market 1,product 11
-0.019271794058095093,-0.33226895607346707,4,11,market 1,product 4
-0.5944088692179867,1.1883712472018522,6,8,market 1,product 6
0.5288731581944521,0.7130356588475621,4,2,market 1,product 4
-0.6269550404907189,1.72912279469195,2,6,market 1,product 2
-1.3274086487853256,0.8085074317873975,11,1,market 1,product 11
-0.9626535012352899,1.921189760564781,2,3,market 1,product 2
0.07427742986972619,0.47959381112030863,11,8,market 1,product 11
-0.9162154459680959,1.1635062002170957,2,8,market 1,product 2
-0.16898993715634048,1.5180139297779465,1,3,market 1,product 1
-0.07261083894997744,0.9101548634069248,10,3,market 1,product 10
0.4463924968235613,1.5480272464851108,8,6,market 1,product 8
-1.121536323331185,1.3433018504387682,11,3,market 1,product 11
-1.60850269058436,0.7383406015557235,11,10,market 1,product 11
-0.7224840212810413,0.15074097407306553,11,10,market 1,product 11
-0.9726698893438511,2.303282139320719,5,2,market 1,product 5
-2.03083458294436,1.0783695167953928,11,8,market 1,product 11
-1.8281891945888675,1.6989381233175354,11,6,market 1,product 11
-1.6136167154810819,0.6632908412330785,11,10,market 1,product 11
0.5128770253388324,0.8748320851171447,6,8,market 1,product 6
-1.3485838630932463,1.369048433506542,11,1,market 1,product 11
-2.8503192485904023,0.9983462377902087,11,10,market 1,product 11
-1.533415223872319,0.5927599852097878,11,3,market 1,product 11
-0.6299848496102545,1.7172068555198532,2,3,market 1,product 2
-0.19177951295541673,1.626962940757084,2,8,market 1,product 2
-1.2853386035051024,1.0577421489242396,11,1,market 1,product 11
-1.7982302097799798,1.707243253709922,8,11,market 1,product 8
-0.2721556262653462,0.7776251585333764,11,1,market 1,product 11
-1.0461420698142387,1.0882679894769105,2,6,market 1,product 2
-1.464930360602505,0.23845382519852198,11,1,market 1,product 11
-0.6126391906372357,0.7551937453862638,11,2,market 1,product 11
-1.6766844916968728,1.0334157580864305,11,1,market 1,product 11
-0.8750811162434753,1.564034647818669,6,10,market 1,product 6
-2.5041811970666057,1.100226847918987,11,6,market 1,product 11
-2.305864009826632,0.4737338524482797,11,2,market 1,product 11
-0.753023096801153,1.526370132299263,4,2,market 1,product 4
-1.2294898744267082,2.0024105265877163,11,6,market 1,product 11
0.46856095642530304,0.9873053324911518,2,1,market 1,product 2
-2.333996499818521,0.9017749154700498,11,1,market 1,product 11
-0.9220096039908876,0.9253405899867561,2,8,market 1,product 2
-1.9017563563033062,0.14305842874509977,11,6,market 1,product 11
-1.638745883239453,0.4708319354273124,8,2,market 1,product 8
-0.6760748688380268,0.8810859439212108,2,8,market 1,product 2
-1.7453761652505537,0.9163959535151528,11,1,market 1,product 11
-2.7874448714972093,1.1152762407717387,11,1,market 1,product 11
-0.8800723986450552,2.0889650661455494,4,2,market 1,product 4
-1.2758068631448471,1.24799003579851,11,6,market 1,product 11
-0.5457597689039937,1.1299104114814715,4,6,market 1,product 4
-0.506421417030259,1.716693101913595,2,11,market 1,product 2
-1.1012874736563676,0.38196933853405324,11,8,market 1,product 11
-0.3189980359797786,1.0557031992994326,8,2,market 1,product 8
-1.4362609680415037,1.4960754999178583,2,8,market 1,product 2
-0.16366208721774234,1.3068152253116054,4,2,market 1,product 4
-1.660312411711093,1.4670831606538814,11,8,market 1,product 11
